127.0.0.1 - - [03/Dec/2023:02:37:15 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:16 +0530] "GET /project/index.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:17 +0530] "GET /project/styles.css HTTP/1.1" 200 5786
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:17 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:17 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:17 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:17 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:35 +0530] "GET /project/index.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:35 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:35 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:35 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:38 +0530] "POST /project/SaveToDatabaseServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:37:38 +0530] "POST /project/SaveToDatabaseServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:38 +0530] "GET /project/addrecord.jsp HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:40 +0530] "GET /project/foodentry.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:43 +0530] "POST /project/SaveFoodEntryServlet HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:46 +0530] "GET /project/sleepentry.jsp HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:49 +0530] "GET /project/illnessentry.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:52 +0530] "GET /project/index.jsp HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:52 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:52 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:52 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:55 +0530] "GET /project/addrecord.jsp HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:39:57 +0530] "GET /project/sleepentry.jsp HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:14 +0530] "POST /project/SaveSleepEntryServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:14 +0530] "GET /project/index.jsp HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:14 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:14 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:14 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:16 +0530] "GET /project/index.jsp HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:16 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:16 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:16 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:29 +0530] "GET /project/index.jsp HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:30 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:30 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:30 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:38 +0530] "GET /project/index.jsp HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:38 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:38 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:38 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:38 +0530] "POST /project/SaveToDatabaseServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:52 +0530] "POST /project/SaveToDatabaseServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:53 +0530] "POST /project/SaveToDatabaseServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:55 +0530] "GET /project/index.jsp HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:55 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:55 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:55 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:56 +0530] "GET /project/index.jsp HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:56 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:56 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:40:56 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:41:26 +0530] "GET /project/addrecord.jsp HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:41:39 +0530] "GET /project/index.jsp HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:41:39 +0530] "GET /project/sleep_icon.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:41:39 +0530] "GET /project/SleepAnalyticsServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [03/Dec/2023:02:41:39 +0530] "GET /project/MoodChartDataServlet HTTP/1.1" 200 65
